Datetime,Watts
21-05-2022 - 23:09:54.006,18
21-05-2022 - 23:09:54.255,19
21-05-2022 - 23:09:54.509,18
21-05-2022 - 23:09:54.759,19
21-05-2022 - 23:09:55.009,20
21-05-2022 - 23:09:55.259,19
21-05-2022 - 23:09:55.509,18
21-05-2022 - 23:09:55.763,18
21-05-2022 - 23:09:56.013,19
21-05-2022 - 23:09:56.263,18
21-05-2022 - 23:09:56.513,18
21-05-2022 - 23:09:56.763,16
21-05-2022 - 23:09:57.012,19
21-05-2022 - 23:09:57.262,19
21-05-2022 - 23:09:57.512,18
21-05-2022 - 23:09:57.762,19
21-05-2022 - 23:09:58.012,20
21-05-2022 - 23:09:58.261,19
21-05-2022 - 23:09:58.512,20
21-05-2022 - 23:09:58.766,20
21-05-2022 - 23:09:59.015,19
21-05-2022 - 23:09:59.265,18
21-05-2022 - 23:09:59.515,18
21-05-2022 - 23:09:59.765,18
21-05-2022 - 23:10:00.015,19
21-05-2022 - 23:10:00.264,20
21-05-2022 - 23:10:00.514,20
21-05-2022 - 23:10:00.768,19
21-05-2022 - 23:10:01.018,19
21-05-2022 - 23:10:01.268,20
21-05-2022 - 23:10:01.518,21
21-05-2022 - 23:10:01.768,20
21-05-2022 - 23:10:02.017,19
21-05-2022 - 23:10:02.268,21
21-05-2022 - 23:10:02.517,19
21-05-2022 - 23:10:02.766,19
21-05-2022 - 23:10:03.020,18
21-05-2022 - 23:10:03.270,20
21-05-2022 - 23:10:03.520,21
21-05-2022 - 23:10:03.770,19
21-05-2022 - 23:10:04.020,18
21-05-2022 - 23:10:04.271,19
21-05-2022 - 23:10:04.520,19
21-05-2022 - 23:10:04.770,19
21-05-2022 - 23:10:05.023,19
21-05-2022 - 23:10:05.274,20
21-05-2022 - 23:10:05.523,21
21-05-2022 - 23:10:05.773,20
21-05-2022 - 23:10:06.023,20
21-05-2022 - 23:10:06.273,20
21-05-2022 - 23:10:06.522,19
21-05-2022 - 23:10:06.773,19
