Datetime,Watts
21-05-2022 - 23:28:33.196,20
21-05-2022 - 23:28:33.445,20
21-05-2022 - 23:28:33.695,20
21-05-2022 - 23:28:33.945,20
21-05-2022 - 23:28:34.195,19
21-05-2022 - 23:28:34.445,20
21-05-2022 - 23:28:34.699,20
21-05-2022 - 23:28:34.949,19
21-05-2022 - 23:28:35.199,19
21-05-2022 - 23:28:35.449,19
21-05-2022 - 23:28:35.698,18
21-05-2022 - 23:28:35.948,17
21-05-2022 - 23:28:36.198,18
21-05-2022 - 23:28:36.448,19
21-05-2022 - 23:28:36.697,20
21-05-2022 - 23:28:36.948,21
21-05-2022 - 23:28:37.197,21
21-05-2022 - 23:28:37.452,20
21-05-2022 - 23:28:37.701,20
21-05-2022 - 23:28:37.951,18
21-05-2022 - 23:28:38.201,20
21-05-2022 - 23:28:38.451,19
21-05-2022 - 23:28:38.700,19
21-05-2022 - 23:28:38.950,18
21-05-2022 - 23:28:39.200,19
21-05-2022 - 23:28:39.450,19
21-05-2022 - 23:28:39.700,18
21-05-2022 - 23:28:39.953,16
21-05-2022 - 23:28:40.203,18
21-05-2022 - 23:28:40.454,20
21-05-2022 - 23:28:40.703,21
21-05-2022 - 23:28:40.953,21
21-05-2022 - 23:28:41.202,20
21-05-2022 - 23:28:41.453,21
21-05-2022 - 23:28:41.707,19
21-05-2022 - 23:28:41.957,21
21-05-2022 - 23:28:42.207,21
21-05-2022 - 23:28:42.457,21
21-05-2022 - 23:28:42.706,20
21-05-2022 - 23:28:42.956,20
21-05-2022 - 23:28:43.205,21
21-05-2022 - 23:28:43.456,20
21-05-2022 - 23:28:43.709,19
21-05-2022 - 23:28:43.959,19
21-05-2022 - 23:28:44.209,20
21-05-2022 - 23:28:44.459,20
21-05-2022 - 23:28:44.708,21
21-05-2022 - 23:28:44.959,21
21-05-2022 - 23:28:45.208,20
21-05-2022 - 23:28:45.458,20
21-05-2022 - 23:28:45.712,19
21-05-2022 - 23:28:45.962,19
21-05-2022 - 23:28:46.212,19
21-05-2022 - 23:28:46.462,18
21-05-2022 - 23:28:46.712,19
21-05-2022 - 23:28:46.962,19
21-05-2022 - 23:28:47.211,18
21-05-2022 - 23:28:47.461,18
21-05-2022 - 23:28:47.711,19
21-05-2022 - 23:28:47.964,19
21-05-2022 - 23:28:48.214,20
21-05-2022 - 23:28:48.465,18
21-05-2022 - 23:28:48.715,19
21-05-2022 - 23:28:48.964,18
21-05-2022 - 23:28:49.214,19
