Datetime,Watts
18-06-2022 - 00:30:09.104,23
18-06-2022 - 00:30:09.354,23
18-06-2022 - 00:30:09.603,23
18-06-2022 - 00:30:09.853,20
18-06-2022 - 00:30:10.102,23
18-06-2022 - 00:30:10.353,22
18-06-2022 - 00:30:10.604,21
18-06-2022 - 00:30:10.853,24
18-06-2022 - 00:30:11.106,23
18-06-2022 - 00:30:11.357,23
18-06-2022 - 00:30:11.606,23
18-06-2022 - 00:30:11.856,22
18-06-2022 - 00:30:12.105,26
18-06-2022 - 00:30:12.356,24
18-06-2022 - 00:30:12.606,22
18-06-2022 - 00:30:12.856,20
18-06-2022 - 00:30:13.105,22
18-06-2022 - 00:30:13.355,24
18-06-2022 - 00:30:13.606,23
18-06-2022 - 00:30:13.859,24
18-06-2022 - 00:30:14.108,23
18-06-2022 - 00:30:14.358,23
