Datetime,Watts
18-06-2022 - 14:53:51.615,8
18-06-2022 - 14:53:51.865,7
18-06-2022 - 14:53:52.115,10
18-06-2022 - 14:53:52.365,8
18-06-2022 - 14:53:52.615,4
18-06-2022 - 14:53:52.865,3
18-06-2022 - 14:53:53.115,0
18-06-2022 - 14:53:53.365,0
18-06-2022 - 14:53:53.615,0
18-06-2022 - 14:53:53.865,7
18-06-2022 - 14:53:54.115,73
18-06-2022 - 14:53:54.365,67
18-06-2022 - 14:53:54.615,55
18-06-2022 - 14:53:54.865,41
18-06-2022 - 14:53:55.115,31
18-06-2022 - 14:53:55.364,27
18-06-2022 - 14:53:55.614,29
18-06-2022 - 14:53:55.864,27
18-06-2022 - 14:53:56.114,24
18-06-2022 - 14:53:56.364,23
18-06-2022 - 14:53:56.614,43
18-06-2022 - 14:53:56.864,61
18-06-2022 - 14:53:57.114,54
18-06-2022 - 14:53:57.364,54
18-06-2022 - 14:53:57.614,57
18-06-2022 - 14:53:57.880,60
18-06-2022 - 14:53:58.129,49
18-06-2022 - 14:53:58.379,36
18-06-2022 - 14:53:58.629,28
18-06-2022 - 14:53:58.879,21
18-06-2022 - 14:53:59.129,26
18-06-2022 - 14:53:59.363,64
18-06-2022 - 14:53:59.614,62
18-06-2022 - 14:53:59.863,47
18-06-2022 - 14:54:00.129,36
18-06-2022 - 14:54:00.379,48
18-06-2022 - 14:54:00.629,49
18-06-2022 - 14:54:00.879,41
18-06-2022 - 14:54:01.129,31
18-06-2022 - 14:54:01.379,22
18-06-2022 - 14:54:01.629,19
18-06-2022 - 14:54:01.879,19
18-06-2022 - 14:54:02.129,55
18-06-2022 - 14:54:02.378,86
18-06-2022 - 14:54:02.628,81
18-06-2022 - 14:54:02.878,98
18-06-2022 - 14:54:03.128,93
18-06-2022 - 14:54:03.378,73
18-06-2022 - 14:54:03.628,52
18-06-2022 - 14:54:03.878,39
18-06-2022 - 14:54:04.128,41
18-06-2022 - 14:54:04.378,69
18-06-2022 - 14:54:04.628,78
18-06-2022 - 14:54:04.878,64
18-06-2022 - 14:54:05.128,59
18-06-2022 - 14:54:05.385,59
18-06-2022 - 14:54:05.631,62
18-06-2022 - 14:54:05.886,68
18-06-2022 - 14:54:06.135,56
18-06-2022 - 14:54:06.385,39
18-06-2022 - 14:54:06.635,42
18-06-2022 - 14:54:06.885,40
18-06-2022 - 14:54:07.135,33
18-06-2022 - 14:54:07.385,33
18-06-2022 - 14:54:07.635,30
18-06-2022 - 14:54:07.885,24
18-06-2022 - 14:54:08.135,18
18-06-2022 - 14:54:08.385,14
18-06-2022 - 14:54:08.635,12
18-06-2022 - 14:54:08.885,9
18-06-2022 - 14:54:09.135,9
18-06-2022 - 14:54:09.385,10
18-06-2022 - 14:54:09.635,11
18-06-2022 - 14:54:09.884,10
18-06-2022 - 14:54:10.134,10
18-06-2022 - 14:54:10.384,11
18-06-2022 - 14:54:10.634,10
18-06-2022 - 14:54:10.884,9
18-06-2022 - 14:54:11.134,9
18-06-2022 - 14:54:11.384,10
18-06-2022 - 14:54:11.634,8
18-06-2022 - 14:54:11.884,10
18-06-2022 - 14:54:12.134,11
18-06-2022 - 14:54:12.384,11
18-06-2022 - 14:54:12.634,11
18-06-2022 - 14:54:12.885,11
18-06-2022 - 14:54:13.144,10
18-06-2022 - 14:54:13.394,9
18-06-2022 - 14:54:13.644,10
18-06-2022 - 14:54:13.894,11
18-06-2022 - 14:54:14.144,10
18-06-2022 - 14:54:14.394,12
18-06-2022 - 14:54:14.645,13
18-06-2022 - 14:54:14.895,13
18-06-2022 - 14:54:15.145,12
18-06-2022 - 14:54:15.395,11
18-06-2022 - 14:54:15.645,11
18-06-2022 - 14:54:15.887,10
18-06-2022 - 14:54:16.137,10
18-06-2022 - 14:54:16.387,13
18-06-2022 - 14:54:16.641,13
18-06-2022 - 14:54:16.896,14
18-06-2022 - 14:54:17.149,14
18-06-2022 - 14:54:17.392,15
18-06-2022 - 14:54:17.642,14
18-06-2022 - 14:54:17.892,15
18-06-2022 - 14:54:18.142,15
18-06-2022 - 14:54:18.391,14
18-06-2022 - 14:54:18.641,13
18-06-2022 - 14:54:18.892,12
18-06-2022 - 14:54:19.141,12
18-06-2022 - 14:54:19.391,12
18-06-2022 - 14:54:19.641,14
18-06-2022 - 14:54:19.892,15
18-06-2022 - 14:54:20.141,16
18-06-2022 - 14:54:20.391,15
18-06-2022 - 14:54:20.641,13
18-06-2022 - 14:54:20.891,10
18-06-2022 - 14:54:21.151,9
18-06-2022 - 14:54:21.393,11
18-06-2022 - 14:54:21.655,11
18-06-2022 - 14:54:21.903,12
18-06-2022 - 14:54:22.151,10
18-06-2022 - 14:54:22.402,12
18-06-2022 - 14:54:22.651,11
18-06-2022 - 14:54:22.904,11
18-06-2022 - 14:54:23.153,8
18-06-2022 - 14:54:23.404,10
18-06-2022 - 14:54:23.656,12
18-06-2022 - 14:54:23.906,14
18-06-2022 - 14:54:24.156,14
18-06-2022 - 14:54:24.404,14
18-06-2022 - 14:54:24.652,13
18-06-2022 - 14:54:24.900,14
18-06-2022 - 14:54:25.156,14
18-06-2022 - 14:54:25.405,14
18-06-2022 - 14:54:25.661,12
18-06-2022 - 14:54:25.909,13
